Initial_risk,Fitness_best_solution,Exec_time,N_asset,N_antibodies,N_threats,N_iterations,N_cms,k
1730.9823429183607,9.545156858116666,1.374283790588379,20,20,20,100,100,6
1736.37561020343,11.699341383718329,1.3275244235992432,20,20,20,100,100,6
1562.1776492953159,9.914729924165906,1.5135471820831299,20,20,20,100,100,6
1740.4886681399064,11.962572065182634,1.5818896293640137,20,20,20,100,100,6
1657.3973690901444,10.409383909761194,1.3028740882873535,20,20,20,100,100,6
1711.7752834140497,8.376745073181327,2.931358814239502,20,20,20,100,100,6
1831.634237659297,12.95570639674713,3.001772403717041,20,20,20,100,100,6
1700.2967008746818,10.418621271642925,1.6096832752227783,20,20,20,100,100,6
1743.06104550495,10.014276938480819,1.4286558628082275,20,20,20,100,100,6
1542.4626910608968,13.324742352046005,1.3853657245635986,20,20,20,100,100,6
1921.9504522500215,8.273262304087545,2.6222305297851562,20,20,20,100,100,6
1618.366424657775,13.615407515034551,1.7662577629089355,20,20,20,100,100,6
1608.8862687468747,11.682316356626188,1.4255719184875488,20,20,20,100,100,6
1898.1803981392306,7.08744690890302,1.8663716316223145,20,20,20,100,100,6
1736.2172431846911,8.824457231731635,1.1918749809265137,20,20,20,100,100,6
1759.0553435854251,13.47239505447024,1.9068140983581543,20,20,20,100,100,6
1856.2440509021105,13.007213389448415,1.8968565464019775,20,20,20,100,100,6
1702.21615843799,7.664517307470338,1.39888334274292,20,20,20,100,100,6
1757.0039371492974,11.020568066359782,1.7016468048095703,20,20,20,100,100,6
1640.9351762878666,8.791441777350004,1.2223167419433594,20,20,20,100,100,6
1677.522050680095,11.215322079360094,1.6370508670806885,20,20,20,100,100,6
1686.427522803108,9.354483336336495,2.64399790763855,20,20,20,100,100,6
1600.2342418689218,7.770647204634729,1.912961483001709,20,20,20,100,100,6
1535.400453965612,11.18830419728558,1.309722900390625,20,20,20,100,100,6
1806.7973325794148,8.086618232064838,1.954831600189209,20,20,20,100,100,6
1727.6420652472884,12.733385521890877,1.268561601638794,20,20,20,100,100,6
1608.3739261337564,12.53248049437143,0.9988057613372803,20,20,20,100,100,6
1686.3699380043245,11.517448786843435,1.4775936603546143,20,20,20,100,100,6
1751.8178612080326,7.240003459716384,1.3093388080596924,20,20,20,100,100,6
1710.7027386213506,12.901207576103591,1.1781978607177734,20,20,20,100,100,6
1729.4426061098534,8.741142265674503,1.9525866508483887,20,20,20,100,100,6
1728.783769131352,9.282868264353972,1.950469732284546,20,20,20,100,100,6
1692.2000329680934,9.840554637918004,1.4283504486083984,20,20,20,100,100,6
1852.0446373317861,10.45320041199759,2.1675963401794434,20,20,20,100,100,6
1889.9749441996116,13.323072720661994,1.6658456325531006,20,20,20,100,100,6
1669.4730296260975,13.515585815159238,1.3938767910003662,20,20,20,100,100,6
1596.8396025848965,15.406924720417544,1.5054337978363037,20,20,20,100,100,6
1752.5576448952925,8.527430283892375,2.2300193309783936,20,20,20,100,100,6
1671.7226646219206,14.630507571318418,1.6829397678375244,20,20,20,100,100,6
1609.8626694976083,10.427705228859715,1.5418388843536377,20,20,20,100,100,6
1893.741352281939,14.989714665498877,2.2667105197906494,20,20,20,100,100,6
1562.2949648599345,9.490968566807465,2.434262275695801,20,20,20,100,100,6
1867.3715549346798,11.488496238247587,1.580341100692749,20,20,20,100,100,6
1595.7958061077704,12.05149445971381,1.1205878257751465,20,20,20,100,100,6
1778.6805591847085,9.099942933388313,1.6897072792053223,20,20,20,100,100,6
1612.017941125941,11.978684554198452,2.396695375442505,20,20,20,100,100,6
1504.240137827841,12.496853456422905,1.6648404598236084,20,20,20,100,100,6
1770.224595538023,13.026056854739844,1.856626272201538,20,20,20,100,100,6
1698.6262377428166,14.14214011255352,1.4720816612243652,20,20,20,100,100,6
1874.6527057981496,9.30925094025446,1.5273118019104004,20,20,20,100,100,6
1719.833619047141,13.485748249369154,1.5329508781433105,20,20,20,100,100,6
1590.280124651923,10.251007174681412,1.3631269931793213,20,20,20,100,100,6
1538.450740564922,11.908583795588557,1.562408208847046,20,20,20,100,100,6
