Initial_risk,Fitness_best_solution,Exec_time,N_asset,N_antibodies,N_threats,N_iterations,N_cms,k
1853.1096282339893,8.202780510341839,36.2556037902832,20,20,20,1000,400,6
1686.8559924693004,8.709839232597599,44.161327600479126,20,20,20,1000,400,6
1677.9152675788146,11.00159898480126,41.29838967323303,20,20,20,1000,400,6
1924.1360611516495,6.550948902791438,52.5522882938385,20,20,20,1000,400,6
1623.947517555343,9.984077713963226,35.618353605270386,20,20,20,1000,400,6
1493.3797111548467,17.301623974477828,30.323827028274536,20,20,20,1000,400,6
1727.1051017475597,9.953221218512672,32.0820746421814,20,20,20,1000,400,6
1669.746231529968,9.89372627165179,36.40574502944946,20,20,20,1000,400,6
1800.862465617106,11.164225730648782,28.116663694381714,20,20,20,1000,400,6
1568.837721921868,11.052133717117442,33.643404483795166,20,20,20,1000,400,6
1604.5299688896323,14.208221301643952,33.29767394065857,20,20,20,1000,400,6
1780.8375651932693,7.579737254814015,36.56829118728638,20,20,20,1000,400,6
1657.4665245812323,9.81532116053431,35.94214916229248,20,20,20,1000,400,6
1704.9245528506435,11.15712873113165,29.842679262161255,20,20,20,1000,400,6
1812.808354521389,7.56905233170397,35.08516836166382,20,20,20,1000,400,6
1615.0716318003647,13.321559709592705,30.594602584838867,20,20,20,1000,400,6
1704.0968279352528,7.734274788653169,37.37328505516052,20,20,20,1000,400,6
1767.7016698220216,12.550546093963664,30.941875219345093,20,20,20,1000,400,6
1768.24901739152,14.732373438173624,25.794774770736694,20,20,20,1000,400,6
1644.8781742564736,11.347656306652217,31.398197650909424,20,20,20,1000,400,6
1399.6365203089008,16.49513907312595,29.967228889465332,20,20,20,1000,400,6
1763.6973146384696,10.66813084367734,39.463529109954834,20,20,20,1000,400,6
1661.0564167098094,11.878385162117544,29.11179780960083,20,20,20,1000,400,6
1789.6553890069672,7.5789682467565775,33.412463426589966,20,20,20,1000,400,6
1668.0694669239256,7.1686264147215955,29.445329904556274,20,20,20,1000,400,6
1760.1159644671473,10.1008953915883,32.31422972679138,20,20,20,1000,400,6
1574.8479997143747,7.383184345208824,42.808157444000244,20,20,20,1000,400,6
1799.6496804511087,9.889180368062584,41.38751220703125,20,20,20,1000,400,6
1727.7130533770253,7.1243987327608345,39.06427788734436,20,20,20,1000,400,6
1901.585683884211,8.297195408201949,37.157938957214355,20,20,20,1000,400,6
1541.4913262037696,12.625334157629998,32.13871622085571,20,20,20,1000,400,6
1693.4912542467723,10.216913131184873,35.74527978897095,20,20,20,1000,400,6
1705.035893057818,9.214680741925907,35.83558106422424,20,20,20,1000,400,6
1722.995447663862,8.90129745962835,33.486867904663086,20,20,20,1000,400,6
1609.1298786195628,8.825158942017595,34.15814995765686,20,20,20,1000,400,6
