Initial_risk,Initial_fitness,Fitness_best_solution,Exec_time,N_asset,N_antibodies,N_threats,N_iterations,N_cms,k
122.6339437842755,84.30463117918246,4.7149549992553155,21.115358114242554,20,10,20,1000,400,3
124.70326559600129,102.79874530182104,6.958269199883439,23.39953327178955,20,10,20,1000,400,3
113.98224958207751,76.10135772714906,8.206053396873875,19.715329885482788,20,10,20,1000,400,3
122.514885867931,103.75650727446676,5.181548433781391,23.88021421432495,20,10,20,1000,400,3
117.81300471299507,80.33518879258207,5.935317390299735,21.880337715148926,20,10,20,1000,400,3
112.85404608574642,80.34218292038776,8.819898229092425,20.687644958496094,20,10,20,1000,400,3
128.8193610209208,103.42966112316529,5.332352262837304,23.588561296463013,20,10,20,1000,400,3
119.73299579517989,89.73974944700637,6.595229000548533,22.041826486587524,20,10,20,1000,400,3
118.7861437194346,88.22931556909171,7.471192036003316,22.336020708084106,20,10,20,1000,400,3
130.78799742079403,105.38322251633289,6.525883441990247,23.9489266872406,20,10,20,1000,400,3
118.61142132867535,83.1149204772911,7.151538197694318,18.224087715148926,20,10,20,1000,400,3
125.83227871047069,102.33353554669385,5.922757592142353,28.39432191848755,20,10,20,1000,400,3
126.50024128704646,95.57043727726843,5.407204896662792,21.314280033111572,20,10,20,1000,400,3
123.26150188585542,91.63637907162496,7.265967823846276,22.225430488586426,20,10,20,1000,400,3
131.47068640631846,108.64142173419786,5.584600023033297,24.910324811935425,20,10,20,1000,400,3
128.35795186308383,93.71791547163562,7.886292357988014,20.2805278301239,20,10,20,1000,400,3
123.51554518286946,95.8443693461027,5.004986217753565,21.624867916107178,20,10,20,1000,400,3
121.65364739210938,86.75524685187057,4.899144789643719,16.9076030254364,20,10,20,1000,400,3
123.99755834723226,99.92478185141557,9.044303814049222,27.316423654556274,20,10,20,1000,400,3
125.61474939311114,101.8669252924226,5.349143585570582,24.433271884918213,20,10,20,1000,400,3
115.7305530649128,84.22745198390433,8.033053814251659,18.203306436538696,20,10,20,1000,400,3
126.86000164652877,94.78283082614436,8.540099631585182,22.056546449661255,20,10,20,1000,400,3
109.77624660126217,74.70670954035853,6.763962713289246,17.01149606704712,20,10,20,1000,400,3
129.82801233247616,102.07269109378609,5.25852677081988,21.145061016082764,20,10,20,1000,400,3
119.98951384598985,85.33653392523607,7.483109095608064,19.06606411933899,20,10,20,1000,400,3
118.2383354358413,89.3594704819609,6.472781705900627,18.159456729888916,20,10,20,1000,400,3
124.55878679099413,97.41868146345537,7.026154972093924,21.18447470664978,20,10,20,1000,400,3
121.26940932508126,92.7786718725183,5.473246711237266,20.251829385757446,20,10,20,1000,400,3
117.00749288358877,90.30577656716814,5.796355879986648,19.424132108688354,20,10,20,1000,400,3
116.40782598169842,82.84161858646031,6.440871279808239,19.52398681640625,20,10,20,1000,400,3
131.56288817736814,107.35178757518806,5.477872557087233,22.121826171875,20,10,20,1000,400,3
126.9999386883249,96.68294716693224,5.7783929746475975,19.871442794799805,20,10,20,1000,400,3
116.60620408899105,82.22068505802923,5.172591338073526,18.493160009384155,20,10,20,1000,400,3
124.48092919255053,94.50343152796142,8.331749551406023,20.616883039474487,20,10,20,1000,400,3
117.99225533455241,84.43638150027388,6.390399070977953,18.92038869857788,20,10,20,1000,400,3
123.23768198905634,97.9966144936244,6.794511437760022,21.170369148254395,20,10,20,1000,400,3
120.54488956101237,90.35714471183901,6.42580105056745,19.665464162826538,20,10,20,1000,400,3
116.49337456717076,90.44629792062275,6.249923226319217,21.60448980331421,20,10,20,1000,400,3
119.79638064337122,81.72838816471399,8.360089344929193,17.25083041191101,20,10,20,1000,400,3
124.56513770915565,95.11208183176869,8.049789434594167,20.46230387687683,20,10,20,1000,400,3
125.33551453176226,101.00713446200447,6.1712070492740185,22.602577686309814,20,10,20,1000,400,3
124.77876112936356,90.29372207881306,5.474548202334512,18.91843032836914,20,10,20,1000,400,3
128.1881767089446,97.44110348253756,5.65807459565289,19.131465911865234,20,10,20,1000,400,3
124.54391084630441,98.50026804814895,6.509220189008138,21.077630519866943,20,10,20,1000,400,3
123.32811118872456,91.90444619242997,9.354923994202226,19.13784432411194,20,10,20,1000,400,3
121.65986048798185,88.29613563152077,5.406879294962771,20.02995252609253,20,10,20,1000,400,3
127.56237544339348,96.88892357369797,4.588330972367693,19.626049757003784,20,10,20,1000,400,3
118.97292854950499,83.21051630300184,6.018013113810163,18.894643306732178,20,10,20,1000,400,3
117.06257070296701,89.86092941228509,5.645423769838854,19.98457980155945,20,10,20,1000,400,3
116.76236808042574,83.92017375755663,9.023831595034931,18.3817458152771,20,10,20,1000,400,3
124.28292313583309,97.94489287716283,5.427440703211809,20.188204050064087,20,10,20,1000,400,3
117.31701194146105,79.75153392110391,5.6278253689466045,17.185032606124878,20,10,20,1000,400,3
129.10127450638097,99.99641410221179,5.55180444716466,19.60854959487915,20,10,20,1000,400,3
118.93671594096264,84.13671959680457,7.616234344988733,17.206984519958496,20,10,20,1000,400,3
128.84157887770164,99.38575864038472,4.620177219251745,20.027351140975952,20,10,20,1000,400,3
121.84914086311429,90.97685764228494,4.568388282013168,18.297056436538696,20,10,20,1000,400,3
114.71011292255214,83.95162317133506,9.035833426934996,18.555373191833496,20,10,20,1000,400,3
131.53853877721363,106.99286638752234,5.2321123751459435,20.882173776626587,20,10,20,1000,400,3
128.05500838292969,101.91142853732487,7.55144501325864,20.981878995895386,20,10,20,1000,400,3
122.55506423478847,91.36593985555832,7.745887070116198,18.270095825195312,20,10,20,1000,400,3
122.12479733480905,90.92791768591299,5.643614553636044,18.369860887527466,20,10,20,1000,400,3
124.73601410543482,98.19421731394638,7.896453446894931,18.5633442401886,20,10,20,1000,400,3
119.8686778525283,87.72622924389547,8.202631091301429,19.39911127090454,20,10,20,1000,400,3
120.96752637863077,82.47920338755463,4.311894107890438,17.61390471458435,20,10,20,1000,400,3
126.1378007824312,96.06751497413187,8.465831405862,20.57698917388916,20,10,20,1000,400,3
120.47897353740271,94.2607429214759,3.4390531724453934,18.868526935577393,20,10,20,1000,400,3
