Initial_risk,Fitness_best_solution,Exec_time,N_asset,N_antibodies,N_threats,N_iterations,N_cms,k
1509.6347345918077,9.803281075283753,1.7396888732910156,20,20,20,100,400,6
1651.4692814369141,9.838141215089538,2.1464648246765137,20,20,20,100,400,6
1859.3169937048099,7.13030171708583,2.1636722087860107,20,20,20,100,400,6
1498.1030839404038,12.905056455362022,2.6820971965789795,20,20,20,100,400,6
1764.0501105909545,10.038363024011678,2.815119981765747,20,20,20,100,400,6
1810.3428815598193,8.024743789879933,2.491302490234375,20,20,20,100,400,6
1714.9863282660078,11.603047993499652,3.0968668460845947,20,20,20,100,400,6
1868.632658461774,7.800808333426961,3.8609769344329834,20,20,20,100,400,6
1617.7856463229625,11.467989510486051,2.2270443439483643,20,20,20,100,400,6
1555.9936506315776,12.405992752864844,2.1023776531219482,20,20,20,100,400,6
1564.8771210048349,10.689989873248148,2.4125778675079346,20,20,20,100,400,6
1681.1252449177318,14.743942204091917,1.8121836185455322,20,20,20,100,400,6
1667.9683869904597,8.910209152492843,2.158226251602173,20,20,20,100,400,6
1651.3909688125304,11.390231186757823,2.138286590576172,20,20,20,100,400,6
1996.777759785278,6.537325861654273,2.0984230041503906,20,20,20,100,400,6
1673.1008486066878,14.978228301024423,2.354701042175293,20,20,20,100,400,6
1683.1574915675205,8.949963807822915,1.8849585056304932,20,20,20,100,400,6
1626.7607729740646,9.599055168374344,2.2230536937713623,20,20,20,100,400,6
1649.7401624971355,9.15377768279905,2.0415754318237305,20,20,20,100,400,6
2136.09796546457,9.43179576755795,2.3586621284484863,20,20,20,100,400,6
1590.7166831716447,10.803828262742586,2.3337247371673584,20,20,20,100,400,6
1628.2352557236238,11.529440054487296,2.1961252689361572,20,20,20,100,400,6
1615.7262821624904,10.219201125279909,1.9298391342163086,20,20,20,100,400,6
1586.1822765796708,9.916044410736237,2.1412734985351562,20,20,20,100,400,6
1666.7037695537774,11.351308941845025,2.1582272052764893,20,20,20,100,400,6
1590.6118315443412,10.849697159057527,1.9517788887023926,20,20,20,100,400,6
1597.6386131032643,13.375693001043947,1.9587604999542236,20,20,20,100,400,6
