Initial_risk,Initial_fitness,Fitness_best_solution,Exec_time,N_asset,N_antibodies,N_threats,N_iterations,N_cms,k
0,0,7.128228495327618,64.52634859085083,20,20,20,1000,1000,6
0,0,5.267071284754499,76.95868062973022,20,20,20,1000,1000,6
0,0,4.496126126143718,64.69043684005737,20,20,20,1000,1000,6
0,0,4.973201888071215,60.91379523277283,20,20,20,1000,1000,6
0,0,5.538598348599753,52.17292308807373,20,20,20,1000,1000,6
0,0,3.561906965196539,64.98324084281921,20,20,20,1000,1000,6
0,0,5.6662259156652315,64.61322355270386,20,20,20,1000,1000,6
0,0,7.354817909160461,63.686848402023315,20,20,20,1000,1000,6
0,0,6.289792717735174,64.69822335243225,20,20,20,1000,1000,6
0,0,8.000456661070999,59.17257523536682,20,20,20,1000,1000,6
0,0,7.431648880976729,67.5606620311737,20,20,20,1000,1000,6
0,0,4.9490428181176735,63.86498832702637,20,20,20,1000,1000,6
0,0,7.578121423224942,74.25076746940613,20,20,20,1000,1000,6
0,0,6.071831296978242,61.67824721336365,20,20,20,1000,1000,6
0,0,8.486310867567083,58.03847646713257,20,20,20,1000,1000,6
0,0,7.324915061714554,59.56039881706238,20,20,20,1000,1000,6
0,0,6.91642514838362,58.81560492515564,20,20,20,1000,1000,6
0,0,5.199909223455311,73.42218136787415,20,20,20,1000,1000,6
0,0,6.451481916437596,62.024585247039795,20,20,20,1000,1000,6
0,0,7.189224932364658,60.754289627075195,20,20,20,1000,1000,6
0,0,4.695135348675575,54.961984634399414,20,20,20,1000,1000,6
0,0,6.071632027520259,61.21966218948364,20,20,20,1000,1000,6
0,0,4.21083518343167,52.51452660560608,20,20,20,1000,1000,6
0,0,5.32220044464759,59.514883279800415,20,20,20,1000,1000,6
0,0,5.408480052084911,50.13585543632507,20,20,20,1000,1000,6
0,0,3.9463338661584957,56.8918194770813,20,20,20,1000,1000,6
0,0,4.639004076484875,63.76105070114136,20,20,20,1000,1000,6
0,0,8.262375067003,51.5283944606781,20,20,20,1000,1000,6
0,0,4.968350347782379,59.24394488334656,20,20,20,1000,1000,6
0,0,6.195521602896682,63.54716753959656,20,20,20,1000,1000,6
0,0,5.467690416383408,57.19583320617676,20,20,20,1000,1000,6
0,0,5.224755782631854,65.50326895713806,20,20,20,1000,1000,6
0,0,7.556440653970569,66.33752083778381,20,20,20,1000,1000,6
0,0,5.580021960141248,64.15360903739929,20,20,20,1000,1000,6
0,0,8.035824518201125,64.13449668884277,20,20,20,1000,1000,6
0,0,6.9966338788996065,57.64010691642761,20,20,20,1000,1000,6
0,0,5.426621303187483,65.27093267440796,20,20,20,1000,1000,6
0,0,5.055103018045331,62.05400896072388,20,20,20,1000,1000,6
0,0,10.468682719190543,55.75607466697693,20,20,20,1000,1000,6
0,0,6.395370367976497,48.383838415145874,20,20,20,1000,1000,6
0,0,5.021455347838776,54.86620736122131,20,20,20,1000,1000,6
0,0,4.678676078190197,59.22654056549072,20,20,20,1000,1000,6
0,0,7.170668705899892,60.5459418296814,20,20,20,1000,1000,6
0,0,5.565836757873733,58.3401255607605,20,20,20,1000,1000,6
0,0,6.049947802425052,57.92642140388489,20,20,20,1000,1000,6
0,0,9.316859262860767,59.58905053138733,20,20,20,1000,1000,6
0,0,9.526970706827711,60.26096534729004,20,20,20,1000,1000,6
0,0,5.433275230170001,52.074790716171265,20,20,20,1000,1000,6
0,0,6.563281702080663,54.94806408882141,20,20,20,1000,1000,6
0,0,6.043418915291073,63.922014236450195,20,20,20,1000,1000,6
0,0,6.44396700120904,48.858275175094604,20,20,20,1000,1000,6
0,0,5.851917913793445,57.36047673225403,20,20,20,1000,1000,6
0,0,8.12908278549019,51.733442306518555,20,20,20,1000,1000,6
0,0,4.509707958053141,58.68849062919617,20,20,20,1000,1000,6
0,0,6.004449497190471,56.00631594657898,20,20,20,1000,1000,6
0,0,4.2633609146811695,63.88314771652222,20,20,20,1000,1000,6
0,0,5.664500389343347,56.149837255477905,20,20,20,1000,1000,6
0,0,5.373979982825246,52.90556883811951,20,20,20,1000,1000,6
0,0,6.387101420383099,64.23913097381592,20,20,20,1000,1000,6
0,0,5.573244678283974,49.486626625061035,20,20,20,1000,1000,6
0,0,4.589072425326434,63.06626534461975,20,20,20,1000,1000,6
0,0,5.787297320671775,57.66774225234985,20,20,20,1000,1000,6
0,0,5.391036045570118,59.86235213279724,20,20,20,1000,1000,6
0,0,4.461037659813885,52.36509037017822,20,20,20,1000,1000,6
0,0,5.83969727581621,55.50004720687866,20,20,20,1000,1000,6
0,0,4.3821120742401805,62.99013328552246,20,20,20,1000,1000,6
0,0,7.058300356533292,47.69191884994507,20,20,20,1000,1000,6
0,0,3.7252262544802717,59.562270164489746,20,20,20,1000,1000,6
0,0,7.9757651230698245,59.692835092544556,20,20,20,1000,1000,6
0,0,5.895158414818649,54.176613569259644,20,20,20,1000,1000,6
0,0,4.803656368609503,59.84003400802612,20,20,20,1000,1000,6
0,0,6.387659238338827,54.13579177856445,20,20,20,1000,1000,6
0,0,7.492072364961561,58.1629319190979,20,20,20,1000,1000,6
0,0,5.313149751373371,63.17395043373108,20,20,20,1000,1000,6
0,0,6.248623267753755,54.01168131828308,20,20,20,1000,1000,6
0,0,4.697189598898026,56.65981721878052,20,20,20,1000,1000,6
0,0,6.945288561409867,53.56528043746948,20,20,20,1000,1000,6
0,0,6.294302997124127,55.4736123085022,20,20,20,1000,1000,6
0,0,5.56364126904659,59.840784788131714,20,20,20,1000,1000,6
0,0,5.619697649809952,67.78918671607971,20,20,20,1000,1000,6
0,0,6.753190435117953,56.75235867500305,20,20,20,1000,1000,6
0,0,5.365819260274034,57.66375923156738,20,20,20,1000,1000,6
0,0,6.356000954117551,56.520095348358154,20,20,20,1000,1000,6
0,0,5.451627707661827,56.77892875671387,20,20,20,1000,1000,6
0,0,8.433231539022826,51.571088552474976,20,20,20,1000,1000,6
0,0,5.194522285303095,59.161348819732666,20,20,20,1000,1000,6
0,0,6.154989781224739,52.21633958816528,20,20,20,1000,1000,6
0,0,10.656484540955063,54.76305317878723,20,20,20,1000,1000,6
0,0,7.292188773837115,52.72958326339722,20,20,20,1000,1000,6
0,0,6.6065005683401,57.33169412612915,20,20,20,1000,1000,6
0,0,5.576898731327127,55.53943848609924,20,20,20,1000,1000,6
0,0,6.2970226569303325,54.71368336677551,20,20,20,1000,1000,6
