Initial_risk,Fitness_best_solution,Exec_time,N_asset,N_antibodies,N_threats,N_iterations,N_cms,k
1646.952488092306,16.594045095326166,5.829885959625244,20,20,20,100,1000,6
1661.0784739544367,9.71570384885251,4.530053615570068,20,20,20,100,1000,6
1671.86992412599,11.811280322696145,4.70311713218689,20,20,20,100,1000,6
1633.3071365933702,10.453512691601222,4.114764213562012,20,20,20,100,1000,6
1540.0128854428249,12.497614012424481,5.177515745162964,20,20,20,100,1000,6
1581.1405049606692,12.99033695024797,3.4639222621917725,20,20,20,100,1000,6
1781.2051569949776,8.513039677194291,4.251715660095215,20,20,20,100,1000,6
1559.648676440072,18.7956475604801,4.149709701538086,20,20,20,100,1000,6
1572.305993124893,10.758901529178429,4.795166015625,20,20,20,100,1000,6
1686.9676339713992,12.52719382930258,5.898122072219849,20,20,20,100,1000,6
1668.6845609542006,9.606576994424454,8.149487972259521,20,20,20,100,1000,6
1757.318241358863,12.969537036922809,6.983336925506592,20,20,20,100,1000,6
1776.9875079081314,5.8958711706958,6.294218063354492,20,20,20,100,1000,6
1693.7655779196614,11.688134759866706,5.0101158618927,20,20,20,100,1000,6
1703.5647139938123,6.9806419520897744,5.32975959777832,20,20,20,100,1000,6
1826.2297274331677,7.116166470248826,5.2195165157318115,20,20,20,100,1000,6
1623.6782156970874,9.965671946132584,4.521836280822754,20,20,20,100,1000,6
1523.3841090732396,10.494266476116227,5.003177642822266,20,20,20,100,1000,6
1609.5672901196988,11.422438906634508,4.5078699588775635,20,20,20,100,1000,6
1646.372198644679,10.301073201689467,5.209928512573242,20,20,20,100,1000,6
1713.9900314113295,10.678609008712925,4.405900239944458,20,20,20,100,1000,6
1773.6965180940053,12.117078381143397,4.56073522567749,20,20,20,100,1000,6
1721.5370999400438,12.146394824112269,5.002580165863037,20,20,20,100,1000,6
1865.0391771676004,10.330185134076313,5.458719730377197,20,20,20,100,1000,6
1860.9401833744362,10.66277015261597,5.52669358253479,20,20,20,100,1000,6
1668.0037269879826,8.11399119328353,5.64139199256897,20,20,20,100,1000,6
1899.4316334407215,8.036825111317983,4.920649766921997,20,20,20,100,1000,6
1659.637635140635,14.623087330303935,4.707542419433594,20,20,20,100,1000,6
1746.3197747102342,9.995243207687892,5.065578460693359,20,20,20,100,1000,6
1544.8219796975293,15.533640623110273,4.294610261917114,20,20,20,100,1000,6
1711.1563623517593,8.39795653615999,4.888549327850342,20,20,20,100,1000,6
1453.6243472921149,11.628346047876622,4.49621844291687,20,20,20,100,1000,6
1647.92392955946,13.408719289766202,4.924522638320923,20,20,20,100,1000,6
1901.0359313263923,7.638470597586731,4.77021861076355,20,20,20,100,1000,6
1722.3769540444946,16.525654884506572,4.905026435852051,20,20,20,100,1000,6
1643.8829068139341,9.193435841834317,4.540433883666992,20,20,20,100,1000,6
1600.63908325977,7.045280053464817,4.420584201812744,20,20,20,100,1000,6
1665.7837282060134,13.586807057570843,4.746847629547119,20,20,20,100,1000,6
1740.1256387203541,11.250413841713264,4.780577182769775,20,20,20,100,1000,6
1667.9898612001186,8.531756302369164,4.772419452667236,20,20,20,100,1000,6
1792.0722356557023,13.243730977692987,4.761773586273193,20,20,20,100,1000,6
1613.3476565731733,11.65862760613425,4.5389649868011475,20,20,20,100,1000,6
1700.5193855877435,10.881131759049639,4.553760051727295,20,20,20,100,1000,6
1722.195047183838,9.241513702986065,4.671126365661621,20,20,20,100,1000,6
1546.8457282536892,11.295738965899654,4.526652097702026,20,20,20,100,1000,6
1516.8418310474842,7.761631852976098,4.505398273468018,20,20,20,100,1000,6
1681.204118971017,10.311135158639118,4.815295696258545,20,20,20,100,1000,6
1688.7531657981033,11.408531255627668,4.961089611053467,20,20,20,100,1000,6
