Initial_risk,Initial_fitness,Fitness_best_solution,Exec_time,N_asset,N_antibodies,N_threats,N_iterations,N_cms,k
118.34074952730843,91.31515549142895,6.249925150358099,1.5332489013671875,20,10,20,100,400,3
120.76695241416444,88.53158891555108,5.547075573958106,1.4790239334106445,20,10,20,100,400,3
124.5903423809146,98.54989822990964,5.980208778657943,1.5881223678588867,20,10,20,100,400,3
116.46969389920011,86.8905847566504,8.553289328612312,1.4346551895141602,20,10,20,100,400,3
127.43174428878075,97.63601684846864,6.194401261290137,1.4871017932891846,20,10,20,100,400,3
122.36905020165969,93.07738829907574,6.417059574108716,1.4653284549713135,20,10,20,100,400,3
122.57310056421555,91.15072857526935,6.989199539157421,1.7343671321868896,20,10,20,100,400,3
124.25343720735498,94.33698793920742,7.477359261873582,1.9031896591186523,20,10,20,100,400,3
124.91462662036538,95.42641003680751,7.1480679007377494,1.6431944370269775,20,10,20,100,400,3
123.10119209653526,86.8075605669813,8.976568954890332,1.458172082901001,20,10,20,100,400,3
121.99849875888832,89.76161509832745,6.82590144534719,1.4803500175476074,20,10,20,100,400,3
119.7043546093313,90.36241074738214,9.086112888636498,1.58901047706604,20,10,20,100,400,3
130.9562389599244,105.05010415748549,9.476915512789233,1.460770606994629,20,10,20,100,400,3
119.87850675076567,94.77642154015567,6.199641458899603,1.4344537258148193,20,10,20,100,400,3
128.09743528406392,100.22007204376602,5.767842768663801,1.5170915126800537,20,10,20,100,400,3
121.21577552085937,89.93983607478603,6.38289469052215,1.7870607376098633,20,10,20,100,400,3
120.82950486091848,93.07105747619917,9.305988935482503,1.3933758735656738,20,10,20,100,400,3
128.22036876298606,97.45346908248015,10.130010796468495,1.4378337860107422,20,10,20,100,400,3
109.7072342388118,70.06605546516757,7.310620624828364,1.31003999710083,20,10,20,100,400,3
123.27791758925535,91.93824077217774,7.571655786188406,1.5007686614990234,20,10,20,100,400,3
125.79463598048827,99.19711864980847,6.449696880366819,1.605764627456665,20,10,20,100,400,3
119.07829922811206,82.6765471894001,6.312249336236725,1.2641663551330566,20,10,20,100,400,3
120.44395180240535,93.85571296647888,10.000111168143295,1.5238037109375,20,10,20,100,400,3
114.29855482626779,77.93388321369721,8.49724653370661,1.3441307544708252,20,10,20,100,400,3
129.17782204240268,98.35467182987577,5.648931573222104,1.8371317386627197,20,10,20,100,400,3
126.04104577856397,96.02831374003331,6.2321755057120125,1.731673240661621,20,10,20,100,400,3
132.29339480817762,104.5352298104577,6.441986555442401,1.3340532779693604,20,10,20,100,400,3
115.20709989089592,80.82030090124647,8.026218743363563,1.528935432434082,20,10,20,100,400,3
121.76600553104326,92.8933740539702,5.605261252397948,1.3592078685760498,20,10,20,100,400,3
124.80612183475175,96.09835319015835,6.85329756432846,1.46331787109375,20,10,20,100,400,3
125.24426804757442,98.17370958440009,6.997158334454517,1.4293441772460938,20,10,20,100,400,3
