Initial_risk,Fitness_best_solution,Exec_time,N_asset,N_antibodies,N_threats,N_iterations,N_cms,k
1677.059084123157,11.228899573150128,31.03106164932251,20,30,20,1000,100,10
1639.7362766888675,13.556990186928505,32.2602744102478,20,30,20,1000,100,10
1692.807471236041,13.17140215315628,29.74730348587036,20,30,20,1000,100,10
1546.967449729855,12.95452448510581,33.998023986816406,20,30,20,1000,100,10
1608.722922285504,10.048111728432158,40.957441329956055,20,30,20,1000,100,10
1535.7871926747714,15.351118340104382,30.892366886138916,20,30,20,1000,100,10
1633.5268382026145,12.107153282110371,29.121103525161743,20,30,20,1000,100,10
1698.2655272632842,12.430178798299895,37.62842583656311,20,30,20,1000,100,10
1853.775152490079,12.69540723150163,44.25265908241272,20,30,20,1000,100,10
1287.310128671415,17.277315796801094,26.39222264289856,20,30,20,1000,100,10
1719.829482359747,9.138562855214897,37.661258935928345,20,30,20,1000,100,10
1681.429259936744,6.6572661769521595,37.73506164550781,20,30,20,1000,100,10
2021.4975925308795,7.306165794598123,45.48434019088745,20,30,20,1000,100,10
1594.2841719360586,13.351380706430094,29.553946495056152,20,30,20,1000,100,10
1674.5121033644891,8.767794384017831,41.81934356689453,20,30,20,1000,100,10
1719.3943386237402,8.759307328876005,48.2330117225647,20,30,20,1000,100,10
1698.1627694189883,9.175554982276097,39.340805530548096,20,30,20,1000,100,10
1744.151174259179,12.032487672801725,37.73506307601929,20,30,20,1000,100,10
1935.7697705537657,7.1084012537613175,48.71967935562134,20,30,20,1000,100,10
1864.4705000350864,6.22350937368737,40.251330852508545,20,30,20,1000,100,10
1561.1436379940722,14.837739977153431,29.829209089279175,20,30,20,1000,100,10
1794.0961488103057,11.888753227508396,44.01437020301819,20,30,20,1000,100,10
1732.634771283539,8.350892534635715,37.60341477394104,20,30,20,1000,100,10
1714.8866942366492,12.797234990740378,39.03541421890259,20,30,20,1000,100,10
1572.7615767433942,12.901434388310001,27.981728553771973,20,30,20,1000,100,10
1822.4514241971817,11.9116750560335,44.60169529914856,20,30,20,1000,100,10
1701.1810050707143,11.124025178591545,38.03130221366882,20,30,20,1000,100,10
1672.0635577896037,10.166822088213287,34.280303955078125,20,30,20,1000,100,10
1698.76170866543,9.527522916834341,38.50103783607483,20,30,20,1000,100,10
1645.8901861674779,9.894204441132953,35.35166811943054,20,30,20,1000,100,10
1994.148100318515,9.727659112029617,45.22810173034668,20,30,20,1000,100,10
1756.3690201162465,6.936437200981034,41.03527021408081,20,30,20,1000,100,10
1726.11900112682,9.20137251366097,39.60093569755554,20,30,20,1000,100,10
1744.7270393594097,13.221782190661637,36.29392218589783,20,30,20,1000,100,10
1682.573408676578,14.22655769793781,35.456204891204834,20,30,20,1000,100,10
1510.4679656669357,9.47270750239151,42.70135521888733,20,30,20,1000,100,10
1649.8463984348225,8.368247551636745,32.8520245552063,20,30,20,1000,100,10
1562.1351928929773,14.011625436404664,31.713213205337524,20,30,20,1000,100,10
1689.7553167228734,12.501908168541167,35.95691895484924,20,30,20,1000,100,10
1766.7321978606858,7.40396431404147,34.42031812667847,20,30,20,1000,100,10
1914.3428121377756,7.039528286781465,45.64953112602234,20,30,20,1000,100,10
1757.2252370386257,8.564384031064767,28.546896934509277,20,30,20,1000,100,10
1530.2576646754553,10.76158887715835,39.33116292953491,20,30,20,1000,100,10
1729.0709496635702,11.213127560904649,33.59477925300598,20,30,20,1000,100,10
1550.2964567719923,11.447730509350704,34.53916692733765,20,30,20,1000,100,10
1619.5548060614713,12.960314529284155,38.763351917266846,20,30,20,1000,100,10
1528.8529458947175,11.585683519428366,44.746283531188965,20,30,20,1000,100,10
1635.9798355673797,14.911162986720267,31.318559885025024,20,30,20,1000,100,10
1703.8808472854846,10.298771977192061,37.02763748168945,20,30,20,1000,100,10
1650.1392158583405,12.41517002109308,34.32875967025757,20,30,20,1000,100,10
1618.9191439111016,10.208700008746689,35.090702056884766,20,30,20,1000,100,10
1786.971398629307,12.701178553661494,38.529319524765015,20,30,20,1000,100,10
1789.416920699572,11.15990341374254,39.70214247703552,20,30,20,1000,100,10
1860.4814603101888,7.748066138833838,35.43730354309082,20,30,20,1000,100,10
1631.4541982824405,13.989290095753123,35.010387659072876,20,30,20,1000,100,10
1777.3888991037525,13.489361704144997,40.174238443374634,20,30,20,1000,100,10
1848.1680788864655,13.868190110743093,36.41556692123413,20,30,20,1000,100,10
1863.8826178064025,8.216634324391036,44.576143980026245,20,30,20,1000,100,10
1893.58107869423,6.450413605645211,40.93966007232666,20,30,20,1000,100,10
1790.2991327473906,13.443864172117408,38.73266935348511,20,30,20,1000,100,10
1951.44891641419,11.413088569592984,45.923203468322754,20,30,20,1000,100,10
1843.7390455498448,10.317222648115951,38.230305910110474,20,30,20,1000,100,10
