Initial_risk,Fitness_best_solution,Exec_time,N_asset,N_antibodies,N_threats,N_iterations,N_cms,k
1670.00122,12.63334841,17.19729757,20,20,20,1000,100,6
1595.379009,13.11999887,20.65393329,20,20,20,1000,100,6
1796.250541,17.24512,19.47769141,20,20,20,1000,100,6
1661.964652,13.47309615,20.6664803,20,20,20,1000,100,6
1583.430962,8.897030126,23.55181217,20,20,20,1000,100,6
1598.025418,8.648164901,22.08000922,20,20,20,1000,100,6
1690.702617,9.315788596,17.82786918,20,20,20,1000,100,6
1804.781377,11.64147447,25.26450849,20,20,20,1000,100,6
1698.314286,12.43680444,20.81281447,20,20,20,1000,100,6
1901.790943,8.415713203,27.24789405,20,20,20,1000,100,6
1713.350027,10.30219707,20.01366448,20,20,20,1000,100,6
1764.481748,10.09207135,20.25516319,20,20,20,1000,100,6
1577.900151,10.52040213,23.52045298,20,20,20,1000,100,6
1707.236175,11.59052314,24.44925261,20,20,20,1000,100,6
1806.062627,8.292701506,17.39641356,20,20,20,1000,100,6
1625.369164,12.58833579,24.1043663,20,20,20,1000,100,6
1470.977921,15.59831408,21.78542924,20,20,20,1000,100,6
1733.751337,8.440704113,24.49428654,20,20,20,1000,100,6
1657.820912,17.10600349,18.72872925,20,20,20,1000,100,6
1559.866804,14.52917343,21.64518118,20,20,20,1000,100,6
1493.660612,14.90450922,23.65531254,20,20,20,1000,100,6
1757.33284,14.2218399,22.51699257,20,20,20,1000,100,6
1811.344076,10.24341123,21.97018075,20,20,20,1000,100,6
1939.192861,7.998501857,26.67835927,20,20,20,1000,100,6
1685.301157,7.837717774,19.85918927,20,20,20,1000,100,6
1561.562812,12.08760463,19.01359057,20,20,20,1000,100,6
1588.816927,13.64794508,19.8817935,20,20,20,1000,100,6
1492.813748,16.46311976,21.19058609,20,20,20,1000,100,6
1742.803698,8.954135349,21.24898672,20,20,20,1000,100,6
1834.75472,8.539307999,21.45835257,20,20,20,1000,100,6
1520.80536,13.98878497,19.67919588,20,20,20,1000,100,6
1585.92179,13.71300315,19.08249688,20,20,20,1000,100,6
1635.792911,14.92489751,21.3069706,20,20,20,1000,100,6
1783.863619,10.96569924,21.71202326,20,20,20,1000,100,6
1714.418789,9.482000199,26.40678144,20,20,20,1000,100,6
1653.828735,15.89580534,23.06540704,20,20,20,1000,100,6
1841.098041,11.16963376,22.86268353,20,20,20,1000,100,6
1527.375845,11.96617262,19.1158154,20,20,20,1000,100,6
1760.623102,12.23709081,20.46574807,20,20,20,1000,100,6
1513.985043,16.77027757,18.23436904,20,20,20,1000,100,6
1701.49347,13.26042654,21.87606835,20,20,20,1000,100,6
1809.375175,8.277329991,23.3178916,20,20,20,1000,100,6
1603.601004,9.347894456,19.89934611,20,20,20,1000,100,6
1631.750984,14.6543237,20.31419349,20,20,20,1000,100,6
1671.278431,10.10090589,22.68365836,20,20,20,1000,100,6
1690.673456,12.24784001,24.5391326,20,20,20,1000,100,6
1730.863501,10.66525278,24.09489989,20,20,20,1000,100,6
1704.709084,8.885051266,22.67225432,20,20,20,1000,100,6
1612.640963,12.4767585,19.60973358,20,20,20,1000,100,6
1456.096116,16.65477252,17.36174035,20,20,20,1000,100,6
1597.130547,8.190079401,21.17546964,20,20,20,1000,100,6
1712.49263,12.49700609,23.6556561,20,20,20,1000,100,6
1569.157402,11.81748249,19.0498054,20,20,20,1000,100,6
1856.418533,7.312966451,28.38075542,20,20,20,1000,100,6
1743.069491,7.494634255,25.92547607,20,20,20,1000,100,6
1915.054827,12.57838383,23.92383695,20,20,20,1000,100,6
1670.593446,15.469487,24.27001023,20,20,20,1000,100,6
1713.329857,11.73028863,22.77146125,20,20,20,1000,100,6
1803.330745,10.84564305,19.07779384,20,20,20,1000,100,6
1574.293701,11.56393807,20.40345931,20,20,20,1000,100,6
1601.831851,11.93852653,22.88580441,20,20,20,1000,100,6
1639.640259,12.40229405,22.45757437,20,20,20,1000,100,6
1678.166032,10.28858796,20.20916367,20,20,20,1000,100,6
1509.848714,10.38224898,17.83350801,20,20,20,1000,100,6
1806.413118,8.900929132,22.75456882,20,20,20,1000,100,6
1791.586543,10.32315621,21.9894712,20,20,20,1000,100,6
1761.871817,12.11653293,28.49463415,20,20,20,1000,100,6
1664.338062,10.32357861,21.90569639,20,20,20,1000,100,6
1755.356505,12.58878943,24.87368488,20,20,20,1000,100,6
1584.313521,14.27357122,19.63491702,20,20,20,1000,100,6
1587.633727,11.89912531,19.46873069,20,20,20,1000,100,6
1667.317482,12.67990814,21.90377879,20,20,20,1000,100,6
1917.694696,12.60020416,22.89644933,20,20,20,1000,100,6
1420.861687,11.04568891,15.73882651,20,20,20,1000,100,6
1572.14653,13.1031546,21.51843095,20,20,20,1000,100,6
1768.419313,9.266649828,23.2064774,20,20,20,1000,100,6
1859.484006,8.323000308,26.87043762,20,20,20,1000,100,6
1599.631625,14.7224447,16.69351721,20,20,20,1000,100,6
1848.869176,9.291887626,24.48804331,20,20,20,1000,100,6
1758.394461,8.363704137,26.78877354,20,20,20,1000,100,6
1677.792829,12.39259317,23.44424844,20,20,20,1000,100,6
1672.308403,10.36867895,20.24800968,20,20,20,1000,100,6
1609.47616,15.0551476,18.81412172,20,20,20,1000,100,6
1705.61526,7.920065539,21.78206873,20,20,20,1000,100,6
1811.854925,8.269168699,29.47118235,20,20,20,1000,100,6
1809.892606,9.185282863,20.33284831,20,20,20,1000,100,6
2080.867189,11.91262123,26.55134583,20,20,20,1000,100,6
1704.025764,7.446021601,21.37124538,20,20,20,1000,100,6
1696.691667,13.13520543,19.13393712,20,20,20,1000,100,6
1577.008435,5.502710212,23.60917997,20,20,20,1000,100,6
1627.480793,13.74750631,25.05595636,20,20,20,1000,100,6
1729.561687,8.83243531,22.29595733,20,20,20,1000,100,6
1675.409381,10.29666117,19.71345806,20,20,20,1000,100,6
1613.260111,10.57782727,25.87299848,20,20,20,1000,100,6
1455.311335,19.63760808,17.6859293,20,20,20,1000,100,6
1824.178778,13.55969019,27.43501043,20,20,20,1000,100,6
1708.654671,9.665319055,27.2532475,20,20,20,1000,100,6
1870.195143,12.47454235,26.29443645,20,20,20,1000,100,6
1858.765412,10.84597327,21.31584573,20,20,20,1000,100,6
1604.704455,10.35327365,27.64737582,20,20,20,1000,100,6
